name,health_amenity_type,amenity,healthcare,operator,operational_status,beds,longitude,latitude,adm2_pcode,district,facility_type
دەرمانخانەی خۆشی کوردستان,,pharmacy,pharmacy,,,,44.013098931569,36.1256716350836,IQG11Q02,Erbil,pharmacy
نەخۆشخانەی پێست,,hospital,hospital,,,,43.9775753362722,36.1555857255006,IQG11Q02,Erbil,hospital
,,pharmacy,pharmacy,,,,43.9890578730677,36.2382887906472,IQG11Q02,Erbil,pharmacy
دەرمانخانەی وەیناز,,pharmacy,pharmacy,,,,44.0607202953541,36.1863077475644,IQG11Q02,Erbil,pharmacy
Helena Hospital,,hospital,,,,,44.0348217232905,36.2170653927167,IQG11Q02,Erbil,hospital
دەرمانخانەی دوان,,pharmacy,pharmacy,,,,44.0271284772818,36.2139123721999,IQG11Q02,Erbil,pharmacy
دەرمانخانەی هاودڵ,,pharmacy,pharmacy,,,,43.9940960674272,36.1842236711593,IQG11Q02,Erbil,pharmacy
دكتور عامر مفاصل/مستشفى مديكانوا,,hospital,,,,,44.0105921557869,36.2123708563873,IQG11Q02,Erbil,hospital
ياريدەدەری پزیشکی رئگە پئ دراو (هاوکار فاروق),,pharmacy,pharmacy,,,,44.0472945819459,36.1831112249702,IQG11Q02,Erbil,pharmacy
نەخۆشخانەی خواکوڕک,,hospital,hospital,,,,44.0430524169308,36.1267266652361,IQG11Q02,Erbil,hospital
تاقیگەی پزیشکی یاد,,,laboratory,زیوەر,,,44.1309581293772,36.1527649636256,IQG11Q02,Erbil,laboratory
تاقیگەی سەمیر,,,laboratory,,,,44.0376310857772,36.2097978635701,IQG11Q02,Erbil,laboratory
,,pharmacy,pharmacy,,,,43.940711474658,36.1672481379381,IQG11Q02,Erbil,pharmacy
نۆرینگه‌ی هێمن,,pharmacy,pharmacy,,,,44.0836889731634,36.1141600969032,IQG11Q02,Erbil,pharmacy
تاقیگەی زاگروس,,,laboratory,,,,44.0062253518715,36.1945624972668,IQG11Q02,Erbil,laboratory
المركز الاردني للعيون,,hospital,hospital,,,,44.0016561249946,36.2006954519998,IQG11Q02,Erbil,hospital
دكتورة حسيبة محمد أمين خوشناو,,doctors,doctor,,,,44.0049529789698,36.1948886371192,IQG11Q02,Erbil,doctors
عیادەی پزیشکی عەبدوڵڵا,,clinic,clinic,,,,44.0583476300228,36.1214983693126,IQG11Q02,Erbil,clinic
نةخوشخانةي CMC,,clinic,clinic,,,,44.0809604960424,36.199311851243,IQG11Q02,Erbil,clinic
مستشفى ولڤر,,clinic,clinic,,,,43.991948288558,36.2029814484523,IQG11Q02,Erbil,clinic
,,dentist,dentist,,,,43.9522372620738,36.1813542942459,IQG11Q02,Erbil,dentist
دەرمانخانەی دەروازەی چارەسەر,,pharmacy,pharmacy,,,,44.0360112829889,36.1945204201128,IQG11Q02,Erbil,pharmacy
مختبر بايو,,clinic,,,,,44.0054189289672,36.1947451389369,IQG11Q02,Erbil,clinic
گوڵ ڕوو,,clinic,clinic,,,,44.0502443413108,36.1255898277087,IQG11Q02,Erbil,clinic
دەرمانخانەی ئەنزیم,,pharmacy,pharmacy,,,,44.0416580873379,36.1907870366203,IQG11Q02,Erbil,pharmacy
صیدلیە بخشین,,pharmacy,pharmacy,,,,44.314859348118,36.4065728473951,IQG11Q06,Shaqlawa,pharmacy
Dr. Dashty Bustany,,clinic,clinic,دکتۆر دەشتی بستانی,,,44.0072881771939,36.1949322230158,IQG11Q02,Erbil,clinic
دەرمانخانەی نیازی,,pharmacy,pharmacy,د.نيازي,,,44.008968162047,36.1876037574331,IQG11Q02,Erbil,pharmacy
مركز صحي كاوة,,hospital,hospital,,,,44.0475289399587,36.2221223625394,IQG11Q02,Erbil,hospital
دەرمانخانەی ئەفسانە,,pharmacy,pharmacy,,,,44.0135767838689,36.210727165175,IQG11Q02,Erbil,pharmacy
کۆمەڵگای پزیشکی ماستەر,,clinic,clinic,,,,44.0358356821174,36.2097590553584,IQG11Q02,Erbil,clinic
Bastora clinic,,clinic,clinic,,,,44.1683805610189,36.336517235947,IQG11Q06,Shaqlawa,clinic
,,doctors,,,,,44.1004396199225,36.1551632775806,IQG11Q02,Erbil,doctors
مجمع نوال الطبي دكتور جلال مسه,,doctors,doctor,,,,43.9920199538302,36.2250011271843,IQG11Q02,Erbil,doctors
بنکەی تەندروستی ئالتون ستی,,hospital,,,,,44.0917887414761,36.154194832488,IQG11Q02,Erbil,hospital
نۆرینگەی پزیشکی ماڵی نەخۆش,,pharmacy,,,,,44.1202456380263,36.1541515818676,IQG11Q02,Erbil,pharmacy
hawkari pharmaceutical warehouse,,pharmacy,pharmacy,,,,44.0157246465571,36.1036622660926,IQG11Q02,Erbil,pharmacy
دەرمانخانەی وتار,,pharmacy,pharmacy,,,,44.051084794742,36.202180389966,IQG11Q02,Erbil,pharmacy
بنکەی تەندرۆستی بابسێفا,,doctors,,,,,43.8660072597098,37.0048708328067,IQG11Q01,Al-Zibar,doctors
مستشفی طق طق,,hospital,,,,,44.5910975400559,35.8979147901965,IQG11Q03,Koysinjaq,hospital
,,pharmacy,,,,,43.9694442196416,36.1720379765067,IQG11Q02,Erbil,pharmacy
,,pharmacy,pharmacy,,,,44.0584177865524,36.1217824320111,IQG11Q02,Erbil,pharmacy
,,pharmacy,pharmacy,,,,44.1312895498287,36.1531166682828,IQG11Q02,Erbil,pharmacy
Gailan Pharmacy,,hospital,hospital,,,,44.0292531220982,36.1958204532951,IQG11Q02,Erbil,hospital
بنکەی تەندروستی زەیتونە,,hospital,,,,,44.5583164196585,36.6379909914075,IQG11Q05,Rawanduz,hospital
دەرمانخانەی ئاریا,,pharmacy,,,,,44.5357179705124,36.6543035999067,IQG11Q05,Rawanduz,pharmacy
